lead_I,lead_II,lead_III,lead_V1
0.004578,0.007504,0.002795,0.005655
0.011682,0.005658,0.002748,0.007981
0.017709,0.018021,0.012083,0.008797
0.016318,0.017266,0.015224,0.011431
0.011723,0.002325,0.003833,0.01244
0.00752,0.00923,0.015708,0.018041
0.091456,0.074105,0.076165,0.073332
0.1875,0.17711,0.15519,0.12227
0.17648,0.16316,0.13773,0.11006
0.062936,0.067779,0.06025,0.037981
0.066724,0.065877,0.064004,0.055613
0.14463,0.17937,0.19999,0.21468
0.23147,0.31646,0.41823,0.49725
0.16059,0.27644,0.39424,0.47445
0.043664,0.11466,0.15866,0.19065
0.036124,0.037358,0.030056,0.029931
0.005285,0.0045,0.004782,0.00464
0.007744,0.004981,0.006826,0.00827
0.004449,0.002601,0.003994,0.002338
0.003276,0.002225,0.005197,0.001937
0.002937,0.000472,0.003178,0.002991
0.003027,0.007022,0.0043,0.002534
0.006481,0.002947,0.00306,0.003588
0.003582,0.002947,0.003803,0.001801
0.002328,0.001287,0.004005,0.005035
0.001237,0.004332,0.002108,0.007355
0.00391,0.000902,0.005311,0.002042
0.007408,0.003021,0.009012,0.003993
0.005998,0.006246,0.00836,0.001821
0.003163,0.003393,0.007926,0.001873
0.003128,0.004007,0.006461,0.004973
0.004928,0.003966,0.003993,0.005825
0.0014,0.003945,0.001537,0.002287
0.004336,0.004469,0.0016,0.001276
0.004445,0.007496,0.000819,0.001993
0.005133,0.00761,0.00162,0.004286
0.00288,0.004686,0.002567,0.001752
0.006032,0.010031,0.006992,0.004058
0.012871,0.015123,0.013228,0.012403
0.011847,0.012126,0.0129,0.010537
0.003914,0.004907,0.007731,0.004603
0.005105,0.003259,0.002168,0.006115
0.002888,0.005442,0.000953,0.004281
0.004168,0.001837,0.004906,0.003173
0.00234,0.002535,0.004771,0.0031
0.004227,0.00314,0.008207,0.002046
0.006869,0.005976,0.00919,0.006687
0.00539,0.004878,0.008177,0.001374
0.004708,0.005187,0.002569,0.004359
0.008018,0.010149,0.01119,0.011505
0.000688,0.003626,0.002454,0.004101
0.003086,0.004486,0.006281,0.007952
0.016262,0.017748,0.011585,0.018559
0.002456,0.011395,0.001283,0.007494
0.00475,0.000949,0.009836,0.003701
0.003527,0.0012,0.008899,0.000908
0.001739,0.00166,0.005842,0.003844
0.016363,0.013024,0.018713,0.014709
0.005451,0.0039,0.01495,0.006738
0.014422,0.003501,0.017645,0.006496
0.002882,0.002074,0.009088,0.003966
0.002314,0.00713,0.001571,0.00343
0.001066,0.001464,0.005098,0.001561
0.001555,0.002758,0.004011,0.003891
0.006828,0.006584,0.004704,0.010273
0.008537,0.011017,0.00786,0.007826
0.004473,0.004697,0.007579,0.003016
0.004943,0.005832,0.004884,0.005399
0.00758,0.005286,0.005851,0.008524
0.002915,0.001779,0.000902,0.002061
0.004199,0.001756,0.003262,0.003232
0.003154,0.002504,0.002294,0.004394
0.005378,0.005317,0.005817,0.005165
0.002704,0.000566,0.006044,0.002154
0.001938,0.004192,0.003251,0.002058
0.004591,0.002919,0.003545,0.000997
0.004422,0.00364,0.005386,0.004184
0.003075,0.00405,0.007987,0.005335
0.012521,0.011755,0.018981,0.014374
0.014311,0.019661,0.022075,0.015704
0.021,0.016377,0.023671,0.016407
0.014637,0.007426,0.015294,0.010571
0.00631,0.006679,0.004212,0.005883
0.014986,0.01534,0.018644,0.015333
0.021112,0.023479,0.017418,0.026041
0.018029,0.021038,0.01665,0.017565
0.010323,0.013725,0.012334,0.01246
0.002604,0.004759,0.004659,0.005876
0.001964,0.003047,0.003103,0.000433
0.004004,0.002696,0.004896,0.002157
0.003279,0.003443,0.005525,0.000806
0.004569,0.002241,0.003707,0.001793
0.00786,0.001643,0.003138,0.006794
0.004737,0.005229,0.002756,0.011022
0.003496,0.000772,0.002677,0.007349
0.001789,0.003651,0.00254,0.004974
