joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24
-0.597549,-1.897467,-0.689874,0.597063,-1.922938,-0.836496,-0.586639,-0.827417,-0.100443,0.63131,-0.80724,-0.27933,-0.630195,-1.451361,-0.465686,0.665998,-1.593898,-0.737468,-0.707356,-1.643834,-0.498332,0.463551,-1.61747,-0.806243
-0.581217,-1.92284,-0.700692,0.594941,-1.922243,-0.83467,-0.587231,-0.831042,-0.103778,0.632066,-0.807258,-0.278007,-0.626388,-1.464355,-0.474674,0.666855,-1.595835,-0.737365,-0.706467,-1.698558,-0.524955,0.465296,-1.624086,-0.804118
-0.592066,-1.912729,-0.702529,0.599973,-1.917021,-0.838037,-0.590665,-0.840662,-0.110054,0.633518,-0.80724,-0.274849,-0.64293,-1.462434,-0.474046,0.669992,-1.597528,-0.735672,-0.712429,-1.679896,-0.510173,0.46484,-1.621753,-0.805056
-0.577286,-1.930459,-0.711766,0.605679,-1.917102,-0.841104,-0.590144,-0.823007,-0.115432,0.634159,-0.80902,-0.274106,-0.666163,-1.477584,-0.47659,0.671575,-1.599879,-0.736326,-0.715938,-1.719716,-0.532073,0.46647,-1.628024,-0.803497
-0.568285,-1.935742,-0.727374,0.597675,-1.918653,-0.842211,-0.594716,-0.835395,-0.121241,0.634378,-0.809834,-0.273313,-0.663127,-1.492872,-0.505572,0.672169,-1.601423,-0.736355,-0.71592,-1.746531,-0.566669,0.465797,-1.625307,-0.803804
-0.57971,-1.925513,-0.735854,0.596018,-1.922854,-0.843316,-0.598168,-0.848686,-0.125983,0.634201,-0.811587,-0.274178,-0.668821,-1.475042,-0.50623,0.671967,-1.603243,-0.737332,-0.719014,-1.730908,-0.545375,0.464542,-1.627523,-0.806841
-0.613225,-1.882389,-0.730168,0.59755,-1.92034,-0.846967,-0.599888,-0.82464,-0.119868,0.634011,-0.812971,-0.274637,-0.670437,-1.427802,-0.503889,0.671728,-1.604756,-0.738016,-0.724361,-1.690661,-0.538951,0.465277,-1.63113,-0.806596
-0.581178,-1.932525,-0.727344,0.596354,-1.923827,-0.850216,-0.601037,-0.810961,-0.118428,0.633416,-0.814769,-0.276043,-0.664401,-1.474186,-0.530551,0.671281,-1.606668,-0.739847,-0.722898,-1.719758,-0.549219,0.466369,-1.635924,-0.804218
-0.58313,-1.93933,-0.716691,0.591663,-1.92559,-0.852873,-0.60318,-0.822884,-0.120477,0.632835,-0.815597,-0.276838,-0.658831,-1.496712,-0.539744,0.668703,-1.609789,-0.741971,-0.722863,-1.7601,-0.582068,0.464163,-1.635035,-0.808666
-0.593056,-1.941704,-0.70736,0.591522,-1.922517,-0.857842,-0.604428,-0.809208,-0.110871,0.632053,-0.815923,-0.278209,-0.658993,-1.50555,-0.541281,0.667856,-1.611557,-0.742739,-0.728161,-1.742611,-0.559971,0.465527,-1.640431,-0.807189
-0.596718,-1.947848,-0.690363,0.591446,-1.921561,-0.856023,-0.604997,-0.803173,-0.108169,0.631128,-0.814927,-0.280195,-0.652756,-1.565262,-0.54036,0.665596,-1.611032,-0.743068,-0.729088,-1.749147,-0.556466,0.467666,-1.650993,-0.803289
-0.582807,-1.946883,-0.690492,0.584221,-1.921199,-0.854454,-0.604728,-0.800006,-0.10489,0.630306,-0.81484,-0.282219,-0.656309,-1.547184,-0.535177,0.663881,-1.607482,-0.74567,-0.72865,-1.7549,-0.551994,0.462359,-1.636496,-0.808218
-0.567035,-1.829858,-0.761849,0.562316,-1.87928,-0.879018,-0.607526,-0.801629,-0.082062,0.628778,-0.811132,-0.283198,-0.675362,-1.397415,-0.477376,0.665553,-1.583753,-0.755206,-0.703439,-1.633285,-0.53469,0.451367,-1.651325,-0.840537
-0.466467,-1.547166,-0.907103,0.437262,-1.784961,-0.948639,-0.634528,-0.735066,0.001447,0.631689,-0.790361,-0.282559,-0.606968,-1.262968,-0.4899,0.568048,-1.55022,-0.814685,-0.605693,-1.515531,-0.638915,0.37639,-1.553919,-0.911848
-0.166549,-1.215608,-1.053785,0.178289,-1.620841,-1.025008,-0.661847,-0.687134,0.075004,0.641434,-0.70042,-0.277537,-0.357172,-1.02769,-0.778931,0.382341,-1.351834,-0.913519,-0.313346,-1.318133,-0.741676,0.249728,-1.365766,-1.06731
0.104305,-0.648946,-1.063734,-0.154118,-1.213064,-1.14628,-0.643483,-0.673046,0.003065,0.671551,-0.682241,-0.325689,-0.161181,-0.644199,-0.829092,0.198458,-1.050503,-0.957196,0.085833,-0.804066,-0.76215,0.023496,-1.033682,-1.145706
0.28031,-0.180151,-0.913153,-0.155476,-0.736644,-1.018017,-0.606648,-0.655473,-0.143247,0.63587,-0.660278,-0.421231,-0.031178,-0.543477,-0.711159,0.134727,-0.753626,-0.936752,0.196589,-0.313336,-0.610792,-0.019321,-0.939262,-0.73814
0.361932,0.059325,-0.644367,-0.554791,-0.12618,-0.648215,-0.61483,-0.53589,0.008138,0.306324,-0.609999,-0.750984,0.0453,-0.274087,-0.546507,-0.254977,-0.269006,-0.824178,0.305548,-0.180657,-0.470218,-0.377105,-0.311451,-0.57944
0.346006,0.041314,-0.499187,-0.418736,-0.031316,-0.424632,-0.515576,-0.453199,-0.043298,0.251728,-0.577504,-0.765393,0.05067,-0.214868,-0.505347,-0.151306,-0.19739,-0.67012,0.297694,-0.178536,-0.453866,-0.232875,-0.240546,-0.425603
0.369663,0.036757,-0.382752,-0.319328,-0.029014,-0.36315,-0.536451,-0.421373,0.040189,0.255884,-0.536327,-0.81304,0.044941,-0.177855,-0.43247,-0.142918,-0.15357,-0.617618,0.375667,-0.165192,-0.507092,-0.215632,-0.201633,-0.391943
0.482578,-0.045099,-0.412688,-0.265949,-0.033903,-0.288542,-0.623967,-0.521866,0.161757,0.329027,-0.450795,-0.836733,0.012495,-0.155689,-0.306181,-0.105725,-0.05181,-0.588239,0.409347,-0.113028,-0.531404,-0.350247,-0.126068,-0.338996
0.541594,0.02632,-0.340766,-0.271477,0.04643,-0.217736,-0.719017,-0.589836,0.457088,0.394293,-0.399498,-0.795578,-0.064767,-0.177194,-0.114942,-0.088179,0.024665,-0.534615,0.137234,-0.068909,-0.609386,-0.357289,-0.059836,-0.25645
0.5495,0.011543,-0.332237,-0.276673,0.057399,-0.229795,-0.730466,-0.592908,0.471559,0.404651,-0.395248,-0.788793,-0.069322,-0.180585,-0.113364,-0.082794,0.026739,-0.528884,0.101469,-0.074263,-0.639947,-0.301211,0.001501,-0.355185
0.247083,-0.182037,-0.752409,-0.52534,0.158594,-0.19418,-0.766168,-0.643435,0.433332,0.475879,-0.435609,-0.787294,-0.166186,-0.348943,-0.379489,-0.101703,-0.000611,-0.536432,-0.087291,-0.256321,-0.620386,-0.319763,0.00561,-0.578166
