temperature,humidity,pressure
22.1,65.2,1013.5
22.3,64.8,1013.2
22.5,64.5,1012.9
22.8,63.9,1012.5
23.1,63.2,1012.0
23.5,62.5,1011.6
24.0,61.8,1011.2
24.8,60.5,1010.5
25.5,59.2,1010.0
26.2,58.0,1009.5
27.0,56.5,1009.0
27.5,55.8,1008.8
28.0,55.0,1008.5
28.3,54.5,1008.3
28.5,54.2,1008.2
28.6,54.0,1008.1
28.5,54.1,1008.2
28.2,54.5,1008.4
27.8,55.2,1008.8
27.2,56.0,1009.2
26.5,57.0,1009.8
25.8,58.2,1010.3
25.0,59.5,1010.8
24.3,60.8,1011.5
23.8,61.5,1012.0
23.2,62.5,1012.5
22.8,63.2,1012.9
22.5,63.8,1013.2
22.3,64.2,1013.4
22.1,64.8,1013.5
22.0,65.0,1013.6
22.2,64.5,1013.4
22.4,64.0,1013.1
22.7,63.5,1012.8
23.0,62.8,1012.3
23.4,62.0,1011.8
23.9,61.2,1011.3
24.5,60.0,1010.7
25.2,58.8,1010.2
25.9,57.5,1009.6
26.7,56.2,1009.0
27.3,55.5,1008.6
27.8,55.0,1008.3
28.1,54.5,1008.1
28.4,54.2,1008.0
28.5,54.0,1008.0
28.4,54.2,1008.1
28.1,54.8,1008.3
27.6,55.5,1008.8
27.0,56.5,1009.2
